id,kind,name,author,sha256,symbol,timeframe,data_symbol,data_timeframe,window_from,window_to,window_bars,frozen_input,compiled,compile_error,ohlcv_ok,tv_ok,tv_cached,tv_bars,pyne_ok,pyne_error,is_strategy,pyne_run_sec,pyne_ms_per_bar,pyne_wall_sec,tv_wall_sec,tv_compile_sec,tv_bench_bars,bench_ratio,plot_common_cols,plot_bars_joined,plot_match_pct,plot_na_match_pct,plot_bars_numeric,plot_num_match_pct,plot_na_struct_mismatch,plot_exact_pct,plot_max_ulp,plot_fidelity,transcendentals,plot_worst_col,plot_worst_match_pct,plot_max_abs,plot_max_rel,plot_nrmse_range_med,plot_nrmse_iqr_med,plot_pearson_min,plot_first_divergence_ts,plot_repaint,plot_repaint_shift,plot_repaint_match_pct,trades_tv,trades_pc,entry_match_pct,exit_match_pct,trade_match_pct,qty_match_pct,pc_extra_entries,pc_missing_entries,tv_net_profit,pc_net_profit,net_profit_match,net_profit_rel_err,tv_net_profit_pct,pc_net_profit_pct,tie_excluded,tie_excluded_reason,trade_match_pct_adj,tv_net_profit_adj,pc_net_profit_adj,net_profit_match_adj,net_profit_rel_err_adj,uses_request_security,sec_contexts,sec_series,data_limited,data_limited_reason,uses_lookahead,repaints,repaint_channel,la_plot_match_pct,la_plot_exact_pct,la_trade_match_pct,la_net_profit_match,status,fail_stage,compared_at
PUB;dEplYFWGPqh3bRWyQKIEIzSQAfcm4HH5,indicator,Auto Fib Retracement Alerts,DevLucem,2b8995df581d934dc0a1990339abcded125b32d411ae7f20ca1a0564a99a7e36,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-08-22T19:30:00+00:00,28744,1,1,,1,1,1,28745,1,,0,3.234,0.1125,,,,,,5,28744,1.0,1.0,143710,1.0,0,1.0,0,exact,,Start,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,ok,,2026-08-25
PUB;7VzIgCo5xrB1kTHG3jk0ExNpBzaQEIxg,indicator,"Auto Pitchfork, Fib Retracement and Zig Zag by DGT",dgtrd,4244237ebdaf18bd7b681eba566952ee555b5c094800402233c0555e79a2bd30,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-08-14T07:00:00+00:00,28335,1,1,,1,1,1,28336,1,,0,30.548,1.0781,,,,,,8,28335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"[{""symbol"": ""BINANCE:BTCUSDT"", ""timeframe"": ""W"", ""from"": ""2017-09-25T00:00:00+00:00"", ""to"": ""2026-08-10T00:00:00+00:00"", ""bars"": 464}]",0,,1,0,,,,,,ok,,2026-08-25
PUB;nngZVuIMCzoyqWycjy4sMxA6sDueecSM,indicator,BEST Supertrend CCI,Daveatt,f8a012790b5cf90b3e761464bb1344c9bd5261b847a00ecb181794232f20385f,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-08-23T12:30:00+00:00,28778,1,1,,1,1,1,28779,1,,0,1.264,0.0439,,,,,,1,28778,1.0,1.0,28776,1.0,0,1.0,0,exact,,SuperTrend,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,ok,,2026-08-25
PUB;76a69313816948eda8c48fd33b9e5ea6,indicator,Bjorgum MTF MA,Bjorgum,3718338cd524fe2a4494a1e04e031779861077ea6d31c791c8ddb918f7bf7fa2,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-08-24T10:00:00+00:00,28821,1,1,,1,1,1,28822,1,,0,5.807,0.2015,,,,,,3,28821,1.0,1.0,28772,1.0,0,1.0,0,exact,pow,Moving Average #1,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,0,,,,,,,ok,,2026-08-25
PUB;b9kCyBM3xxE7I3Jaq1CdYzhz8BIw6dbI,indicator,Bjorgum SuperScript,Bjorgum,7e9653d014da8ada3ecaf048b2c57a344c1f5da7695158c12e2a36f77710a92a,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-08-14T22:30:00+00:00,28366,1,1,,1,1,1,28367,1,,0,2.855,0.1007,,,,,,10,28366,1.0,1.0,141764,1.0,0,1.0,0,exact,,T3 Fast,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,ok,,2026-08-25
PUB;Flm5lSTnMsbi5IGhuBw8x5QgD9nB5Tvi,indicator,Bollinger Awesome Alert R1 by JustUncleL,JustUncleL,07ccbf7b4565df47786127cdbecb1b815406cdd73e5d7cac987b8ed545539f12,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-08-12T21:30:00+00:00,28268,1,1,,1,1,1,28269,1,,0,1.221,0.0432,,,,,,8,28268,1.0,1.0,226047,1.0,0,1.0,0,exact,,Basis Line,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,ok,,2026-08-25
PUB;22ea50dde6a349d0ace8c4640e8a5b9d,indicator,Boom Hunter Pro,veryfid,b1fb13e3c677cb9109f94570bdb1763ea5c5e149f674eafcfa29eec9946fa9a5,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-08-18T11:30:00+00:00,28536,1,1,,1,1,1,28537,1,,0,3.965,0.1389,,,,,,21,28536,1.0,1.0,433891,1.0,0,1.0,0,exact,asin;cos;exp;sin,Quotient 1,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,ok,,2026-08-25
PUB;92a018ea21ef4b9886e810a7fea6968d,indicator,Buy Sell Signal,kelfry98,fa0109bdbab422253cc908c4c17cb09ed1751808cefb88addbc931b0233a9a34,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-07-30T06:30:00+00:00,27614,1,1,,1,1,1,27615,1,,0,1.107,0.0401,,,,,,8,27614,1.0,1.0,220896,1.0,0,1.0,0,exact,,Fast EMA,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,ok,,2026-08-25
PUB;f9af35aecc5d410a8c5eced2aa5417df,indicator,CM MACD Custom Indicator - Multiple Time Frame - V2,ChrisMoody,1fbb06f9e43e62d664184d925b8571d39aa955e99295612ba0d0471ee7323409,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-08-10T21:30:00+00:00,28172,1,1,,1,1,1,28173,1,,0,2.257,0.0801,,,,,,5,28172,1.0,1.0,86599,1.0,0,1.0,0,exact,,Histogram,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,0,,,,,,,ok,,2026-08-25
PUB;84da7a14bfe64823a1246e4d5b0f7c80,indicator,CVD - Cumulative Volume Delta (Chart),TradingView,98bdc5ef9c21c2bc71325a1f88ebb8a463f271c4656f814aebb94ca63d285192,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-07-30T07:00:00+00:00,27615,1,1,,1,1,1,27616,1,,0,31.787,1.1511,,,,,,20,27615,1.0,1.0,389985,1.0,0,0.969155,65536,band,asin;exp;log;pow,Volume delta for the bar,1.0,1.819e-12,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"[{""symbol"": ""BINANCE:BTCUSDT"", ""timeframe"": ""1"", ""from"": ""2026-05-21T21:16:00+00:00"", ""to"": ""2026-07-30T07:29:00+00:00"", ""bars"": 99974}]",0,,0,,,,,,,ok,,2026-08-25
