lib_id,user,lib,version,script_id_part,name,access,sha256,file
TradingView/ta/10,TradingView,ta,10,PUB;77c0f0012daa4ff09d68b6f3bed95a7f,ta,open_no_auth,552b6e97481a0f840502bfe999aa570ac8ae7a67584df70a23c1a01321706b89,corpus/libs/lib/TradingView/ta/v10.pine
TradingView/ta/12,TradingView,ta,12,PUB;77c0f0012daa4ff09d68b6f3bed95a7f,ta,open_no_auth,97c4af85851fe1c2dbf8db30f7a3d75e4df647620045153e29747e3953e680c1,corpus/libs/lib/TradingView/ta/v12.pine
TradingView/ta/7,TradingView,ta,7,PUB;77c0f0012daa4ff09d68b6f3bed95a7f,ta,open_no_auth,0ef3348811c5c33d1ed88c02e08aef5e4da92a26e495067e722492f4ae4a8c69,corpus/libs/lib/TradingView/ta/v7.pine
TradingView/ta/9,TradingView,ta,9,PUB;77c0f0012daa4ff09d68b6f3bed95a7f,ta,open_no_auth,cb44acfcbff8a8002811f09c2d663dd75d24ae984de171acb545e88e13f18503,corpus/libs/lib/TradingView/ta/v9.pine
Trendoscope/Drawing/4,Trendoscope,Drawing,4,PUB;21a4005c14294d7cb49110e4b9d58eaf,Drawing,open_no_auth,91cd08c970218fa59df9657087b7df3b9f65360cb4068c417deff6919d2249b4,corpus/libs/lib/Trendoscope/Drawing/v4.pine
Trendoscope/Zigzag/11,Trendoscope,Zigzag,11,PUB;070e1be7fb7a4272b6dbb357501f5219,Zigzag,open_no_auth,5d98f96fa97e824b76aa01691da15c6a3038cae056a99ecf1e07ae5aa0b090da,corpus/libs/lib/Trendoscope/Zigzag/v11.pine
Trendoscope/arrays/2,Trendoscope,arrays,2,PUB;8d9b343887b44b359ca8972dad35e203,arrays,open_no_auth,5f26dd79d73d33f292f12eeb5d930f32ad3e4a94a5fe9ffb94deaf2f4ca266a5,corpus/libs/lib/Trendoscope/arrays/v2.pine
Trendoscope/oota/1,Trendoscope,oota,1,PUB;7cdf30585f69464abfba505997df8c50,oota,open_no_auth,0c0d74f058c7755133b5791cb8082cf9ebf80dca8c869b5adf058cef5976978c,corpus/libs/lib/Trendoscope/oota/v1.pine
ZoomerXeus/AutoFiboRetrace/2,ZoomerXeus,AutoFiboRetrace,2,PUB;a21882ff4b3c44e896cd507d459d20ab,AutoFiboRetrace,open_no_auth,ac9ec1ad9fc893314f646c09c221be6184f5e95463d605ace53a40d3b728cca7,corpus/libs/lib/ZoomerXeus/AutoFiboRetrace/v2.pine
aybarsm/ToolsFluent/6,aybarsm,ToolsFluent,6,PUB;45e4a788a4764135bc9b44a886c8164e,ToolsFluent,open_no_auth,dc02f02f960b1a487281fdb279a52cd10449e97a1a12672aed1606d50f9b6a81,corpus/libs/lib/aybarsm/ToolsFluent/v6.pine
aybarsm/ToolsPos/10,aybarsm,ToolsPos,10,PUB;70a14e4f76c04063a24c9a2caa2bfcf9,ToolsPos,open_no_auth,2ce67b7c9bc6e81d260149552fadc0a12034f377e4a9658d1b87518023be1774,corpus/libs/lib/aybarsm/ToolsPos/v10.pine
aybarsm/tac/21,aybarsm,tac,21,PUB;43ee5f59d3364ea78a72f030e42825a4,tac,open_no_auth,f8d0ef982d66d1a05aa62cb1a2c0d327dc03d1a162cabd9088e03d9628fdf40c,corpus/libs/lib/aybarsm/tac/v21.pine
boitoki/AwesomeColor/9,boitoki,AwesomeColor,9,PUB;63202329a04c4056a171b456d7b77065,AwesomeColor,open_no_auth,4751e717c71f4c7135835708a535551cea0a0f6a87017d49b4cf77b391fbb574,corpus/libs/lib/boitoki/AwesomeColor/v9.pine
boitoki/Heikinashi/6,boitoki,Heikinashi,6,PUB;1c0c9d7ecb8a4675b9bc0c967acb99e6,Heikinashi,open_no_auth,0af6d3014d691aa93cf656106af660ab0ce4b88a75d3514060ef20c97915f78f,corpus/libs/lib/boitoki/Heikinashi/v6.pine
boitoki/Utilities/11,boitoki,Utilities,11,PUB;40add3df60ef4c9ea1e15c4cde58d95b,Utilities,open_no_auth,fab958bf4d8146fe1b3bec05ea44f80af5b1d3e86404cb69ce8b4518f5c97a06,corpus/libs/lib/boitoki/Utilities/v11.pine
jason5480/analytics_tables/3,jason5480,analytics_tables,3,PUB;19ad5cc0515d4e878b36224601d66a2d,analytics_tables,open_no_auth,955e365b6e350cde54a54c811ba0c95bef77c220c5bfc7f5c8f0de84ce842535,corpus/libs/lib/jason5480/analytics_tables/v3.pine
